Date,Name,Total price,Current price
31-10-2019 16:07,'Visual Novel Maker - Live2D DLC',19.99,19.99
31-10-2019 16:07,'Yu-Gi-Oh! ARC-V: Shay vs Dennis',4.99,4.99
31-10-2019 16:07,'Westward Collection',13.99,13.99
31-10-2019 16:07,'GameGuru - Melee Weapons Pack',27.99,11.19
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Ranger Weapon Decoy Launcher (Pale Wing)',2.39,2.39
31-10-2019 16:07,"'iTube HD Video Downloader - Download videos from 10000+ sites, 3X Faster Download Speed, Download Entire Playlist, Record Online Video.'",26.75,26.75
31-10-2019 16:07,'NOCE',14.99,8.99
31-10-2019 16:07,'FSX Steam Edition: Consolidated B-24 Liberator Add-On',16.99,8.49
31-10-2019 16:07,'The Legend of Heroes: Trails of Cold Steel II - All Casual Clothes',14.99,14.99
31-10-2019 16:07,'Sneaker',9.99,9.99
31-10-2019 16:07,'UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call All Characters',24.99,16.74
31-10-2019 16:07,'Vicious Circle - Founder's Pack',8.19,8.19
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Air Raider Piloted Weapon Blacker Number 5',2.39,2.39
31-10-2019 16:07,'Great Battles of the American Civil War',8.19,7.37
31-10-2019 16:07,'Card Games Mega Collection',5.69,5.69
31-10-2019 16:07,'最強の囲碁 ～名人への道～ / Igo Meijin',73.99,73.99
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Air Raider Vehicle Caliban Armored Ambulance Joyful Marking',2.39,2.39
31-10-2019 16:07,'Iconoclasts - Soundtrack',8.99,3.59
31-10-2019 16:07,'Card Games Mega Collection',5.69,5.69
31-10-2019 16:07,'最強の囲碁 ～名人への道～ / Igo Meijin',73.99,73.99
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Air Raider Vehicle Caliban Armored Ambulance Joyful Marking',2.39,2.39
31-10-2019 16:07,'Iconoclasts - Soundtrack',8.99,3.59
31-10-2019 16:07,'X-Plane 11 - Add-on: Aerosoft - Paderborn XP',19.95,13.36
31-10-2019 16:07,'Trainz 2019 DLC: JR Rolling Stock Pack ( TRS19 )',24.99,24.99
31-10-2019 16:07,'FSX Steam Edition: Cessna® C208B Grand Caravan® EX Add-On',20.99,13.64
31-10-2019 16:07,'talesshop puzzle 테일즈샵퍼즐 - 미래의 여친님이 나에게 인사를 건네왔다 OST',13.29,13.29
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Ranger Piloted Weapon Blacker Number 4.1',2.39,2.39
31-10-2019 16:07,'Dark Parables: The Match Girl's Lost Paradise Collector's Edition',8.19,8.19
31-10-2019 16:07,'Arc Savior',12.49,4.99
31-10-2019 16:07,'伊勢志摩ミステリー案内 偽りの黒真珠',8.19,8.19
31-10-2019 16:07,'Gamecraft',3.99,3.99
31-10-2019 16:07,'Train Simulator: Norfolk Southern SD60E Loco Add-On',13.99,10.49
31-10-2019 16:07,'Aimgod',4.99,4.99
31-10-2019 16:07,'Professional Fishing: Starter Kit Pro',12.49,1.24
31-10-2019 16:07,'Trailer Park Boys: Greasy Money - Bubbles' Kitty Pack',19.99,19.99
31-10-2019 16:07,"'Penn & Teller VR: Frankly Unfair, Unkind, Unnecessary, & Underhanded'",19.99,19.99
31-10-2019 16:07,'Train Simulator: LMS Rebuilt Patriot Class Steam Loco Add-On',19.99,15.99
31-10-2019 16:07,'DW8E: Edit Voice Pack 1',9.99,9.99
31-10-2019 16:07,'The Captives: Plot of the Demiurge',13.99,4.75
31-10-2019 16:07,'WWE 2K19 - WOOOOO! Edition Pack',7.99,7.99
31-10-2019 16:07,'Train Simulator: BR Standard Class 4MT',19.99,16.99
31-10-2019 16:07,'Train Simulator: LMS 5XP Jubilee Class Steam Loco Add-On',19.99,11.99
31-10-2019 16:07,'The Pirate's Fate - Art Book',9.99,4.99
31-10-2019 16:07,'Yu-Gi-Oh! ARC-V Zuzu v. Julia',4.99,4.99
31-10-2019 16:07,'DX-Ball 2: 20th Anniversary Edition - Season Pass',8.19,8.19
31-10-2019 16:07,'Journey For Elysium',0.0,0.0
31-10-2019 16:07,'FSX Steam Edition: Piper PA-28-181 Archer III Add-On',29.99,20.99
31-10-2019 16:07,'FSX Steam Edition: Vought F4U Corsair™ Add-On',22.99,13.79
31-10-2019 16:07,'无限之心',0.0,0.0
31-10-2019 16:07,'RWBY: Volume 5',3.99,0.79
31-10-2019 16:07,'刀剑天下',0.0,0.0
31-10-2019 16:07,'GameGuru Mega Pack 2',22.99,9.19
31-10-2019 16:07,'东方大战争 ~ Touhou Big Big Battle - Skin Pack 3',3.29,2.3
31-10-2019 16:07,'逍遥江湖',0.0,0.0
31-10-2019 16:07,'Live Desktop',1.59,1.59
31-10-2019 16:07,'Asdivine Kamura',14.99,14.99
31-10-2019 16:07,'Gems of War - Starter Bundle',19.99,9.99
31-10-2019 16:07,'Trainz 2019 DLC: Cornish Mainline and Branches ( TRS19 )',16.79,16.79
31-10-2019 16:07,'FSX Steam Edition: McDonnell Douglas DC-3™',22.99,11.49
31-10-2019 16:07,'X-Plane 11 - Add-on: Skyline Simulations -  CYTZ - Billy Bishop Toronto City Airport',23.74,18.99
31-10-2019 16:07,'HTML5 Exporter for Clickteam Fusion 2.5',59.99,44.99
31-10-2019 16:07,'Tower!3D Pro - KMCO airport',19.99,11.99
31-10-2019 16:07,'SENRAN KAGURA ESTIVAL VERSUS - Surprise Pack',9.99,9.99
31-10-2019 16:07,'LoveChoice - Original Sound Tracks 3',1.59,1.27
31-10-2019 16:07,'Portal Knights - Bibot Box',2.99,2.09
31-10-2019 16:07,'TerraTech - Official Soundtrack',3.99,2.79
31-10-2019 16:07,'DW8E: Edit Voice Pack 2',9.99,9.99
31-10-2019 16:07,'GameGuru - Fantasy Pack',27.99,11.19
31-10-2019 16:07,'Utopia',3.99,2.99
31-10-2019 16:07,'东方大战争 ~ Touhou Big Big Battle - Skin Pack 2',3.29,2.3
31-10-2019 16:07,'Hanaby the Witch - OST',5.69,5.69
31-10-2019 16:07,'CyberLink ActionDirector 3',39.99,25.99
31-10-2019 16:07,'NASCAR Heat 4 - October Paid Pack',10.79,10.79
31-10-2019 16:07,'FSX Steam Edition: Cessna® C208B Grand Caravan® Add-On',20.99,11.54
31-10-2019 16:07,'Samorost 3 Soundtrack + Art Book',6.99,6.99
31-10-2019 16:07,'Grim Tales: The Stone Queen Collector's Edition',8.19,4.09
31-10-2019 16:07,'DIY Simulator',19.99,9.99
31-10-2019 16:07,'San Francisco [KSFO] airport for Tower!3D Pro',19.99,11.99
31-10-2019 16:07,'Summer Meetings',9.99,7.99
31-10-2019 16:07,'Slapshot - Slappy Pass',8.19,4.09
31-10-2019 16:07,'WWE 2K19 - Titans Pack',9.99,9.99
31-10-2019 16:07,'Crusaders of the Lost Idols: Mindy Epic Starter Pack',8.19,4.09
31-10-2019 16:07,'FSX Steam Edition: Mega Airport Berlin Brandenburg Add-On',29.99,22.49
31-10-2019 16:07,'FURIDASHI - ULTIMATE 200%',4.99,2.49
31-10-2019 16:07,'Train Simulator: Arriva Trains Wales Class 150/2 DMU Add-On',13.99,6.99
31-10-2019 16:07,'Space Rogue Classic',5.99,1.19
31-10-2019 16:07,'LOGistICAL 2: USA - Texas - Bundle',12.49,12.49
31-10-2019 16:07,'Train Simulator: Rebuilt Bulleid Light Pacific Steam Loco Add-On',13.99,5.59
31-10-2019 16:07,'Nero Burning ROM',49.99,24.99
31-10-2019 16:07,'Train Simulator: Network SouthEast Class 121 DMU Add-On',13.99,5.59
31-10-2019 16:07,'ChessBase 15 Steam Edition',99.99,99.99
31-10-2019 16:07,'Die drei ??? - Rätsel aus der Geisterwelt',9.99,3.99
31-10-2019 16:07,'Storm Tale',8.19,4.5
31-10-2019 16:07,'Pikuniku Collector's Edition',4.99,4.99
31-10-2019 16:07,'Fishing Planet: Char Charger's Pack',19.99,19.99
31-10-2019 16:07,'Bandit Point',8.19,8.19
31-10-2019 16:07,'X-Plane 11 - Add-on: Globall Art - CYYZ - Toronto Pearson International',29.99,23.99
31-10-2019 16:07,'GameGuru - Death Valley Combat Pack',27.99,11.19
31-10-2019 16:07,"'灵魂筹码 - 安琪星辰夜幕礼服 Soul at Stake - ""Glad You Came"" Angie's Dress'",8.99,8.99
31-10-2019 16:07,'Return Zero VR',4.99,4.99
31-10-2019 16:07,'Groove Coaster - Death by Glamour',1.59,1.27
31-10-2019 16:07,"'灵魂筹码 - 绣娘春闺怨时装 Soul at Stake - ""Teenage Dream"" the Bride's Dress'",11.59,11.59
31-10-2019 16:07,'东方大战争 ~ Touhou Big Big Battle - Skin Pack 1',3.29,2.3
31-10-2019 16:07,'RPG Maker MV - Ancient Dungeons: Base Pack',20.99,20.99
31-10-2019 16:07,'Gal*Gun: Double Peace - 'Demon Pork Buns' Item',9.99,4.49
31-10-2019 16:07,'Professional Fishing: Catfish Kit',12.49,1.24
31-10-2019 16:07,'Grid Clash VR',7.99,0.79
31-10-2019 16:07,'TS Marketplace: Union Pacific Scenario Pack 01 Add-On',9.99,6.99
31-10-2019 16:07,'Flan',8.19,6.55
31-10-2019 16:07,'Expanse',5.69,5.69
31-10-2019 16:07,'Fairground 2 - The Ride Simulation',14.99,7.49
31-10-2019 16:07,'Life of a Capitalist',8.19,2.04
31-10-2019 16:07,'Fantasy Grounds - D&D Rage of Demons: Out of the Abyss',22.99,18.39
31-10-2019 16:07,'MOBA GM',16.79,16.79
31-10-2019 16:07,'Neko Dungeon BlaBla Underwear DLC',4.99,2.49
31-10-2019 16:07,'Mutiny!! - Grozdana Kakra - Bonus Route',3.99,2.39
31-10-2019 16:07,'GameGuru Mega Pack 3',22.99,11.49
31-10-2019 16:07,'Mystery of the Ancients: Deadly Cold Collector's Edition',10.79,5.39
31-10-2019 16:07,'Crusaders of the Lost Idols: Otto von Klick Taskmaster Pack',3.99,2.79
31-10-2019 16:07,'Eden Rising: Crystal Weapons Pack',6.99,4.19
31-10-2019 16:07,'GameGuru Mega Pack 1',22.99,9.19
31-10-2019 16:07,"'""LoveChoice - Original Sound Track 2""'",1.59,1.27
31-10-2019 16:07,'Portal Knights - Lobot Box',2.99,2.09
31-10-2019 16:07,'DOA6 Witch Party Costume - Marie Rose',1.99,1.99
31-10-2019 16:07,'Fantasy Grounds - D&D Acquisitions Incorporated',24.99,24.99
31-10-2019 16:07,'Cities in Motion 2: Players Choice Vehicle Pack',4.99,2.49
31-10-2019 16:07,'GameGuru - Buildings Pack',27.99,11.19
31-10-2019 16:07,'40 Winks',10.79,5.39
31-10-2019 16:07,'FSX Steam Edition: Curtiss C-46 Commando Add-On',30.99,18.59
31-10-2019 16:07,'Age of Grit',16.79,16.79
31-10-2019 16:07,'X-Plane 11 - Add-on: Aerosoft - Airport Stuttgart',21.95,14.7
31-10-2019 16:07,"'Player character ""Satori Komeiji"" / 玩家角色「古明地觉」 / プレイヤーキャラ「古明地さとり」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,"'Player & Partner character ""Tenshi Hinanawi"" / 玩家角色＋同伴「比那名居天子」 / プレイヤー & パートナーキャラ「比那名居天子」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,'mdiapp+ SE',50.0,40.0
31-10-2019 16:07,'Mutiny!! - Elizabeth Margaret - Bonus Route',3.99,2.39
31-10-2019 16:07,'Street Fighter V - Ken Costumes Bundle',10.99,10.99
31-10-2019 16:07,'FSX Steam Edition: Piper PA-28R Turbo Arrow III/IV Add-On',31.99,23.99
31-10-2019 16:07,'SENRAN KAGURA ESTIVAL VERSUS - Spray Pack',9.99,9.99
31-10-2019 16:07,'BlastFX',16.79,11.75
31-10-2019 16:07,"'Player & Partner character ""Daiyosei"" / 玩家角色＋同伴「大妖精」 / プレイヤー & パートナーキャラ「大妖精」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,"'Player & Partner character ""Cirno"" / 玩家角色＋同伴「琪露诺」 / プレイヤー & パートナーキャラ「チルノ」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,"'Player character ""Suwako Moriya"" / 玩家角色「洩矢诹访子」 / プレイヤーキャラ「洩矢諏訪子」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,'The Elder Scrolls III: Morrowind Soundtrack',9.99,9.99
31-10-2019 16:07,'Dhalang MG',27.99,18.19
31-10-2019 16:07,'TANE DLC Route: Milwaukee Road - Avery Drexel',24.99,24.99
31-10-2019 16:07,'VRemedies - MRI Procedure Experience',169.99,169.99
31-10-2019 16:07,"'Player character ""Utsuho Reiuji"" / 玩家角色「灵乌路空」 / プレイヤーキャラ「霊烏路空」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,'Fishing Planet: Virtual Bass Open Pack',19.99,19.99
31-10-2019 16:07,"'Player character ""Kasen Ibaraki"" / 玩家角色「茨木华扇」 / プレイヤーキャラ「茨木華扇」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,'Interactivity: The Interactive Experience',3.29,3.29
31-10-2019 16:07,"'Player character ""Alice Margatroid"" / 玩家角色「爱丽丝·玛格特洛依德」 / プレイヤーキャラ「アリス・マーガトロイド」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
31-10-2019 16:07,'RPG Maker MV - POP: Slasher Forest',22.99,22.99
31-10-2019 16:07,'AZURE STRIKER GUNVOLT OFFICIAL SOUNDTRACK',9.99,4.99
31-10-2019 16:07,"'Player character ""Kokoro Hata"" / 玩家角色「秦心」 / プレイヤーキャラ「秦こころ」 (Touhou Genso Wanderer -Reloaded-)'",2.99,2.99
